system:index,area_km2,class,class_color,classe,nome,territory,year,.geo
0_0_0,3.4483095745239254,1.0,DBA303,Terra Indígena Homologada Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1.4404248312377665,3.0,F14A74,Área Militar Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3.805023906982426,4.0,7F3822,Glebas Públicas Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.19288239459228512,5.0,A85529,Glebas Públicas - FPND Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.03458537170410156,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.028459380859375,11.0,008148,UCUS Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,0.0708716127319336,12.0,21B8A1,UCPI Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,0.5888237183227538,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.20792957324218742,14.0,E5E5E5,Áreas Urbanas Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.31502833612060527,15.0,41BBD9,Massas d'água Sem CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,0.03003024310302734,103.0,F14A74,Área Militar Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,18.10073813446034,104.0,7F3822,Glebas Públicas Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.22129080548095698,105.0,A85529,Glebas Públicas - FPND Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,26.001650072631765,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.04691566864013669,109.0,EE2918,Assentamento-A Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,0.06647761779785155,110.0,5EDC40,Assentamento-B Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
