system:index,area_km2,classe,year,.geo
0_0_0,0.21360814447021476,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,0.3866274659423828,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.002647180908203125,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.7550477485351563,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,1.488838016174317,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,8.980147360839844,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,39.26439192620887,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,3.060908811462403,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,89.08706803662099,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,8.632847516357453,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,0.015053493286132811,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,0.06684334649658208,2,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,0.10416733245849608,3,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,0.04250955633544923,4,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,0.45524982812500003,5,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,1.351719505432129,6,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,2.120378256835938,7,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,18.59240894470214,8,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,35.829585894104056,9,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,22.858511864990213,10,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,2.650994935546868,11,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
