system:index,Ano,Nível 4,area_km2,classe,frequencia,.geo
0_0_0,1985,Outras Áreas não Vegetadas,0.5679362727050782,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1985,Formação Florestal,3080.9833924572404,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,1985,Formação Savânica,356.5605641456778,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,1985,Floresta Alagável,90.3888203282469,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,1985,Campo Alagado e Área Pantanosa,4.333075115234381,11,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,1985,Formação Campestre,16.115727065429756,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1985,Pastagem,1689.0431867251186,15,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,1985,Área Urbanizada,3.5910759427490078,24,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,1985,Outras Áreas não Vegetadas,6.066971109008789,25,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1985,Afloramento Rochoso,29.324966038513175,29,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,1985,Mineração,6.565094729492192,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,1985,"Rios, Lagos e Oceano",3.7099023671875058,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,1985,Soja,4.87429520947265,39,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,1985,Outras Lavouras Temporárias,9.889115970336904,41,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,1985,Outras Áreas não Vegetadas,0.47038979956054683,0,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,1985,Formação Florestal,655.9796798635876,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,1985,Formação Savânica,228.6968514887656,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,1985,Floresta Alagável,15.871595132202179,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
