system:index,CD_MUN,CD_MUN_INT,area_km2,month,precip_mm,year,.geo
0_0_000100000000000004a0,1505486,1505486,0,1,416.27862518566457,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000002dd,1505650,1505650,0,1,342.67094836252295,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_0001000000000000007e,1508159,1508159,0,1,316.56297007555986,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000002f2,1500859,1500859,0,1,391.9106618686763,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000003a2,1504455,1504455,0,1,258.9564511943858,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00010000000000000473,1500602,1500602,0.21360814447021476,1,407.1182328847067,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000004dc,1508357,1508357,0,1,349.9944012731874,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00010000000000000599,1507805,1507805,0,1,370.05958853755027,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000005f1,1501725,1501725,0,1,313.8463246412165,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_000100000000000001aa,1505908,1505908,0,1,361.83959781484697,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000004a0,1505486,1505486,0,2,493.06879126264306,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000002dd,1505650,1505650,0,2,276.39905424738254,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0001000000000000007e,1508159,1508159,0,2,406.482271016234,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000002f2,1500859,1500859,0,2,385.169144340648,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000003a2,1504455,1504455,0,2,403.8122852436818,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00010000000000000473,1500602,1500602,0.05235194400491151,2,342.1001754639123,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000004dc,1508357,1508357,0.025891045288085928,2,389.5857902573283,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00010000000000000599,1507805,1507805,0,2,365.00369945918754,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000005f1,1501725,1501725,0.06277590810690484,2,369.77538022390206,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000100000000000001aa,1505908,1505908,0.24560856854248053,2,363.71561715019845,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000004a0,1505486,1505486,0,3,374.64786239179074,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000002dd,1505650,1505650,0,3,307.0232817084442,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0001000000000000007e,1508159,1508159,0,3,394.05863388205256,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000002f2,1500859,1500859,0,3,374.83917781772743,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000003a2,1504455,1504455,0,3,414.70321954437975,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_00010000000000000473,1500602,1500602,0.002647180908203125,3,354.59354073423003,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000004dc,1508357,1508357,0,3,402.50200613111235,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_00010000000000000599,1507805,1507805,0,3,426.77599715429415,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000005f1,1501725,1501725,0,3,422.70167652628874,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_000100000000000001aa,1505908,1505908,0,3,376.7119304414428,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000004a0,1505486,1505486,0,4,320.40414539597043,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000002dd,1505650,1505650,0,4,225.912008785252,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0001000000000000007e,1508159,1508159,0.044611519287109366,4,200.96099166258654,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000002f2,1500859,1500859,0,4,297.6576844545973,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000003a2,1504455,1504455,0,4,304.87800364506126,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_00010000000000000473,1500602,1500602,0.7104362292480473,4,293.37318941858643,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000004dc,1508357,1508357,0,4,329.71154998098706,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_00010000000000000599,1507805,1507805,0,4,351.3015378491325,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000005f1,1501725,1501725,0,4,357.41307659142194,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_000100000000000001aa,1505908,1505908,0,4,240.46118664489927,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_000100000000000004a0,1505486,1505486,0,5,264.7296060646625,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
