system:index,mean_max_dry_spell,system:time_start,year,.geo
0,35.95198684287996,473385600000,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,36.83067352520619,504921600000,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,33.40645826514838,536457600000,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,38.77080032709336,567993600000,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,32.10736646170194,599616000000,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,33.135584564037444,631152000000,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.08657120320806,662688000000,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,38.75152033860155,694224000000,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,27.15823927460112,725846400000,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,35.851625668934226,757382400000,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,41.37818899409005,788918400000,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,35.78626148761941,820454400000,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,40.25697173845225,852076800000,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,36.810280858359924,883612800000,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,37.41868131443734,915148800000,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,33.53911028211321,946684800000,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,36.856128999245755,978307200000,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,36.353607732848744,1009843200000,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,37.29829772279854,1041379200000,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,31.478608094891595,1072915200000,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,37.6233238622922,1104537600000,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,37.33461158595023,1136073600000,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,37.999007519871064,1167609600000,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,42.49232662250666,1199145600000,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,37.521351839032604,1230768000000,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,38.35462048737697,1262304000000,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,38.80652768083045,1293840000000,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,34.86530268230281,1325376000000,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,28.788175004754645,1356998400000,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,34.17764718489941,1388534400000,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,39.51507884327759,1420070400000,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,34.071440225759964,1451606400000,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,40.76634237281883,1483228800000,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,36.69537811272348,1514764800000,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,36.03274894790317,1546300800000,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,37.47488291534253,1577836800000,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,35.9627163447379,1609459200000,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,36.33435719050862,1640995200000,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,41.478365767545114,1672531200000,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,37.4025095844807,1704067200000,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
