system:index,area_km2,classe,size,year,.geo
0_0_0,38.81864975122069,1.0,< 10 ha,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,65.11245546069338,2.0,10 - 250 ha,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,19.085241503356908,3.0,250 - 500 ha,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,28.85578549102771,4.0,500 - 5.000 ha,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,27.373013144042975,1.0,< 10 ha,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,44.68592578961219,2.0,10 - 250 ha,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,8.739079669738755,3.0,250 - 500 ha,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,15.3976553079224,4.0,500 - 5.000 ha,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,190.74520898992853,1.0,< 10 ha,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,510.37593136621234,2.0,10 - 250 ha,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,74.44933239202867,3.0,250 - 500 ha,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,76.21489293597475,4.0,500 - 5.000 ha,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,181.34630183862345,1.0,< 10 ha,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,404.7916461915875,2.0,10 - 250 ha,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,103.33054980718961,3.0,250 - 500 ha,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,171.37516085589218,4.0,500 - 5.000 ha,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,100.08684019348146,1.0,< 10 ha,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,86.56066460607887,2.0,10 - 250 ha,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,2.2416044722289907,3.0,250 - 500 ha,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,14.26635301879924,4.0,500 - 5.000 ha,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
