system:index,area_km2,class,territory,year,.geo
0_0_0,15397.142361258911,1,1500602.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2175.776651490585,1,1500859.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1745.932902779295,1,1501725.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1486.7102091427057,1,1504455.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,5000.490556843464,1,1505486.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,2972.086447691621,1,1505650.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,2735.64264534456,1,1505908.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,1233.0787409245295,1,1507805.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,4058.9661475054386,1,1508159.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1156.2312700103116,1,1508357.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
