system:index,area_km2,class,territory,year,.geo
0_0_0,60.63230084613066,1,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1.6613084337158233,1,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.7612084917602545,1,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1.0020603892211901,1,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,67.93271296063234,1,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.1819540134277345,1,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,3.4448225190429698,1,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,0.208034230834961,1,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,8.091612527648946,1,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,7.956117795104993,1,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,96.37109598126305,1,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,2.2929242786865265,1,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,1.931391426330567,1,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,4.541147609008782,1,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,71.67041567181403,1,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,14.137059900512687,1,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,13.067168534484876,1,1505908.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,0.5364823805541993,1,1507805.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,19.44183510485839,1,1508159.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,9.768493432861344,1,1508357.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,222.29972363781687,1,1500602.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,6.800914684387215,1,1500859.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,113.0783401116313,1,1501725.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,100.02151554089194,1,1504455.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,97.52625659289454,1,1505486.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,84.47363037524232,1,1505650.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_0,167.42559226702735,1,1505908.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,11.103224611083858,1,1507805.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,160.95952551879762,1,1508159.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_0,89.01639615893474,1,1508357.0,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,327.155754779607,1,1500602.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,21.905294269409143,1,1500859.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,164.15886869842322,1,1501725.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_0,118.34799215094034,1,1504455.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_0,190.8410436212165,1,1505486.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_0,96.20886388146839,1,1505650.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
